QID,Prediction
Q82,这个是离合器压盘问题，建议调整一下离合器压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘，离合压盘问题，离合重离合器
Q83,正时皮带张紧轮导致，需要更换正时皮带涨紧器，正时皮带张紧轮导致，需要更换正时皮带，正时皮带涨紧器，正时皮带张紧轮导致，需要更换正时皮带涨紧器，正时皮带张紧轮导致，需要更换正时皮带，正时皮带涨紧器，正时皮带张紧轮导致，需要更换正时皮带涨紧器，正时皮带张紧轮导致，需要更换正时皮带，正时皮带涨
Q84,你好，根据你的描述，这个是发电机发电了，需要更换电瓶
Q85,更换转向开关
Q86,发动机动力不足建议检查发动机鸡脚是否打滑
Q87,你好，根据你的描述，这种情况需要检查底盘的各个是否有异物！建议你去检查一下！
Q88,这个价格800左右
Q89,你好，根据描述情况分析应该是主驾驶开关线路接触不良导致的，需要检查一下线路
Q90,这种情况是没有问题的
Q91,用千斤顶发动机和排气支管左右旋转就可以
Q92,在仪表台下面。
Q93,你好，这个是凸轮轴链轮，正时链条跳齿了导致的！
Q94,这种情况是由于节气门体积炭过，或者是节气门体积炭过。
Q95,像这种情况一般都是一样的。
Q96,你好，这个需要检查一下底盘有没有变形然后做一下四轮定位
Q97,这个需要检查一下减震器的减震器是否有问题。
Q98,需要检查线束插头是否有问题
Q99,两年四万公里需要更换一次，如果是两年或者六万公里左右更换一次，建议每两年或者六万公里更换一次，建议每两年或者六万公里更换一次，建议每两年或者六万公里更换一次，建议每两年或者六万公里更换一次，建议每两年或者六万公里更换一次，建议每两年或者六万公里更换一次，建议每两年或者六万公里更换一次，建议每两年或者六万公里更换一次，建议每两年或者六万公里更换一次
Q100,可以进行抛光的
Q101,你好，根据描述情况分析一般是灯泡坏了，需要更换继电器
Q102,你好，根据你的描述，这种情况一般是节气门积碳导致的，建议清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门积碳
Q103,你好，对车辆没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，动力没有影响，可以
Q104,建议更换玻璃升降器
Q105,更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油，更换变速箱油。
Q106,这种情况一般原因是车门铰链导致的，建议去修理厂检查，如果没有的话，建议你去修理厂检查，如果没有的话，建议你去修理厂检查，如果没有的话，建议你去修理厂检查，如果没有的话，建议你去修理厂检查，如果没有的话，建议你去修理厂检查，如果没有的话，建议你去修理厂检查，如果没有的话，建议你去修理厂检查，如果没有的话，建议你去修理厂检查，如果没有的话，需要
Q107,电机坏了，更换雨刮臂弹力
Q108,您好，助力转向助力油，转向助力油，助力油，助力油，助力油，转向助力油，助力油，助力油，转向助力油，助力油，助力油，助力油，助力油，转向助力油，助力油，助力油，转向助力油，助力油，助力油，助力油，助力油，转向助力油，助力油，助力油，转向助力油，助力油，助力油，助力油，助力油，助力油
Q109,这个建议清洗一下节气门，检查一下火花塞是否充足然后清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，检查一下火花塞是否充足
Q110,需要更换发电机皮带
Q111,你好，这个是需要从业资格证。
Q112,更换刹车系统是否有问题
Q113,建议拆下门板。
Q114,检查风扇继电器
Q115,更换机油机滤，空气滤芯，机油滤芯，空气滤芯
Q116,你好，根据您的描述，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，您说的这个情况，建议你这个
Q117,检查车门铰链处是否有问题。
Q118,
Q119,[UNK]指。
Q120,这个建议更换刹车油
Q121,这个需要清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗一下节气门，清洗节气门，清洗节气门，
Q122,可以上网的，没有必要加装
Q123,这个是正常的
Q124,你好，根据你的公里数需要做大保养，更换机油，机滤，空滤，刹车油，喷油嘴，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，刹车油，
Q125,你好，这个对正时图已经发给你了，没有记号的，没有记号的，对正时不需要对正时的，没有记号的，对正时不需要专用工具才行，对正时不需要专用工具才行，对正时不需要专用工具才行，对正时不需要专用工具才行，对正时不需要专用工具才行，对正时不需要专用工具才行，对正时不需要专用工具才行，对正时不需要专用工具才行，对正时不需要专用工具才行，对正时不需要专用工具才行
Q126,你好，这个很有可能是电瓶亏电了，建议你去修理厂用充电机充电，电瓶寿命是电瓶亏电造成的！
Q127,你好，根据你的描述，建议你重点检查一下火花塞，点火线圈，点火线圈，点火线圈，喷油嘴积碳的问题，建议你重点检查一下火花塞，点火线圈，点火线圈，点火线圈，喷油嘴积碳的问题，建议你重点检查一下火花塞，点火线圈，点火线圈，点火线圈，喷油嘴积碳的问题，建议你重点检查一下火花塞，点火线圈，点火线圈，点火线圈，喷油嘴积碳的问题，建议你重点检查一下火花塞，点火线圈，点火线圈，点火
Q128,需要更换安全带模块
Q129,可以改的。
Q130,你好，根据描述情况分析一般是蓄电池电量不足导致的，建议先清洗一下电瓶
Q131,这种情况需要更换遥控器
Q132,这个建议更换75w90的机油
Q133,你好很高兴为您回答，这个是正常的
Q134,你好，根据你的描述，这种情况建议你去4S店去做一下就可以了。
Q135,你好，根据你说的情况，建议你先检查下发动机鸡脚是否有问题，如果有可能是变速器的问题导致的，建议你先检查下发动机鸡脚是否有问题，如果有可能是变速器的问题导致的，建议你先检查下发动机鸡脚是否有问题，如果有可能是变速器的问题导致的，建议你先检查下发动机鸡脚是否有问题，如果有可能是变速器的问题导致的，建议你检查下发动机鸡脚是否松动
Q136,这种情况需要检查导航一体机是否有问题
Q137,你好，根据你的描述，这种现象是变速箱内部的问题导致的
Q138,没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的，没有问题的
Q139,这种情况是没有问题的，需要更换机油。
Q140,这个需要拆开中控台一下就可以了
Q141,这种情况是正常的。
Q142,全合成机油建议每5000公里或者一万公里更换一次
Q143,可以使用半合成机油，可以7500公里保养一次
Q144,你好，这款车外观设计时尚大气上档次。
Q145,可以把喇叭拆掉的
Q146,更换机油，机滤，空滤，清洗节气门，喷油嘴，检查胎压，防冻液，空调滤芯，清洗节气门，检查胎压，防冻液，清洗节气门，喷油嘴，检查胎压，防冻液，空调滤芯，检查胎压，防冻液，空调滤芯，检查胎压，防冻液，空调滤芯，检查胎压，防冻液，空调滤芯，检查胎压，防冻液，空调滤芯，检查胎压，防冻液，空调滤芯，检查胎压，防冻液，空调滤芯，检查胎压，防冻液，空调滤芯，检查胎压，
Q147,推荐使用5W三零的都可以使用
Q148,你好，根据您说的情况，建议你更换原厂配件费用大概在1500块左右。
Q149,可以的隔音效果比较好
Q150,颜色一样颜色一样的防冻液是可以的。
Q151,重新做一下胎压复位
Q152,需要做个轮胎动平衡就可以了。
Q153,建议更换空调滤
Q154,建议清洗节气门，检查汽油压力是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否正常，检查火花塞是否漏气的
Q155,
Q156,需要更换保险丝
Q157,线路接触不良导致的
Q158,需要更换前杠中网
Q159,建议检查天窗开关和开关
Q160,用泡沫清洗剂擦擦
Q161,您说的这个情况一般原因是刹车片摩擦发出来的声音，需要检查一下刹车片和稳定杆胶套是否有异物
Q162,建议更换变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油，清洗一下变速箱油
Q163,你好，根据你的描述，这种情况需要检查一下线路有没有问题
Q164,不会有影响的
Q165,这种情况一般是喇叭本身问题导致的，需要检查方向盘下面的喇叭本身有问题或者是方向盘下面的气囊游丝的问题导致的，需要检查方向盘下面的喇叭本身有问题或者是方向盘下面的气囊游丝的问题导致的，需要检查方向盘下面的喇叭本身有问题或者是方向盘下面的气囊游丝的问题导致的，需要检查方向盘下面的喇叭本身有问题或者是方向盘下面的气囊游丝的问题导致的，需要检查方向盘下面的气囊
Q166,你好，这款车是[UNK]的。
Q167,检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查点火线圈，点火线圈，检查发动机
Q168,你好，根据描述情况分析应该是可以的。
Q169,可以更换。
Q170,下载mp4格式，可以播放视频。
Q171,变速箱有问题，建议到4s店免费保修
Q172,检查节温器是否正常
Q173,需要检查一下线路是否有问题。
Q174,保养提示信息建议使用专用仪器复位。
Q175,这个建议处理一下刹车片厚度打磨一下刹车片，打磨一下刹车片，打磨一下刹车片厚度打磨一下刹车片，打磨一下刹车片，打磨一下刹车片厚度打磨一下刹车片，打磨一下刹车片，打磨一下刹车片厚度打磨一下刹车片，打磨一下刹车片，打磨一下刹车片厚度打磨一下刹车片，打磨一下刹车片，打磨一下刹车片厚度打磨一下刹车片，打磨一下刹车片，打磨一下刹车片厚度打磨一下刹车片，打磨一下刹车片，打磨一下刹车片厚度打磨一下刹车片，打磨一下刹车片，打磨一下
Q176,这个很有可能是发电机皮带的声音。建议更换粘稠度大。
Q177,建议清洗一下节气门，检查氧传感器，水温传感器，氧传感器
Q178,这种情况一般是汽油泵供油系统有问题。建议你重点检查一下汽油泵是否有问题。建议你重点检查一下汽油泵是否有问题。建议你重点检查一下汽油泵是否有问题。建议你重点检查一下汽油泵是否有问题。建议你重点检查一下汽油泵是否有问题。建议你重点检查一下汽油泵是否有问题。建议你重点检查一下汽油泵是否有问题。建议你重点检查一下汽油泵是否有问题。建议你重点检查一下汽油压力是否正常，
Q179,建议更换刹车盘
Q180,需要从新钣金喷漆
Q181,这个可以加装一个是不影响的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装一个是可以加装的，可以加装，
Q182,发动机烧机油，需要大修发动机
Q183,这个是档位开关松了，可以挂倒档机构
Q184,可以去投诉一下
Q185,000公里数，000公里更换一次。
Q186,你好，这个是不会生锈的。
Q187,可以放心使用变形金刚。
Q188,这款车的轮胎的话，可以考虑更换新的轮胎和轮胎和轮胎和轮胎和轮胎的轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮胎和轮胎的轮胎和轮毂
Q189,这个是传感器的问题，建议用电脑读取一下故障码。
Q190,你好，根据描述情况分析这个建议去修理厂用电脑检测下看看有没有问题的
Q191,你好，根据描述情况分析一般是发动机皮带发出的声音。
Q192,需要重点检查皮带张紧轮是否有问题。
Q193,可以加装一个价格在1500元左右。
Q194,你好，这种情况需要检查发动机缸垫，缸垫损坏防冻液是否工作是否正常。
Q195,可以改装。
Q196,可以上网购买。
Q197,打开空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤芯，空调滤清器，
Q198,有可能是车身控制模块问题了
Q199,没问题的
Q200,你好，这个是属于正常的
Q201,你好，根据你的描述，这种情况应该是天窗排水孔堵了导致的，建议直接去修理厂找一下，看看是不是堵了导致的，建议直接去修理厂找一下，看看是不是堵了导致的，建议直接去修理厂找一下，看看是不是堵了导致的，建议直接去修理厂找一下，看看是不是堵了导致的，建议直接去修理厂找一下，看看是不是堵了导致的，建议直接去修理厂找一下，看看有没有漏水的
Q202,你好，这款车用的机油都是可以的！
Q203,你好，根据你说的，这种情况建议先用电脑检测下，看看有没有故障码，建议先用电脑检测下，看看有没有故障码，建议先用电脑检测下，看看有没有故障码，建议先用电脑检测下，看看有没有故障码，建议先用电脑检测下，看看有没有故障码，建议先用电脑检测下，看看有没有故障码，建议先用电脑检测下，看看有没有故障码，建议先用电脑检测下发动机
Q204,你好很高兴为你回答，你可以去4S店去4s处理
Q205,你好很高兴为您回答，应该是机子本身有问题
Q206,这种情况应该是传感器的问题。
Q207,你好，根据你说的，这种情况建议你先检查汽油压力是否正常！
Q208,你好，根据描述情况分析，这个建议直接把发动机仓隔音棉
Q209,建议购买专车专用的，质量不错的，可以考虑购买
Q210,清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴，清洗节气门，喷油嘴
Q211,这个是喇叭坏了。
Q212,检查正时是否有问题
Q213,在仪表上的设置里面的。
Q214,这个一般是皮带松了造成的
Q215,你好，这个建议直接更换一次
Q216,这个需要换一个轴承
Q217,清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，清洗节气门，节气门
Q218,这个是不能调节的。
Q219,你好，这个建议你去4S店喷漆处理。
Q220,你好，根据你说的，这个是没有影响的，放心吧！
Q221,建议清洗节气门积碳
Q222,你好，根据你的描述，建议你去修理厂检查一下发动机是否有问题。
Q223,这个需要清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体，清洗一下节气门体。
Q224,你好，根据描述情况分析，这个车的车都是国四的
Q225,你好，根据描述情况分析一般是发动机积碳导致的，建议更换一下发动机积碳
Q226,这个建议更换刹车油，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，空气滤芯，防冻液，防冻液，防冻液，防冻液，防冻液，防冻液
Q227,水温正常的
Q228,建议清洗节气门
Q229,这种情况需要重点检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要检查发动机电脑版是否有问题，需要重点检查相关线路是否正常
Q230,你好，这种情况需要检查一下发电机发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机的发电量是否充足然后就是发电机发电量不足，
Q231,这种情况建议先把变速箱油换了，建议先清洗一下节气门，检查是否有问题，建议先清洗一下节气门，检查是否有问题，建议先清洗一下节气门，检查是否有问题，建议先清洗一下节气门，检查是否有问题，建议先清洗一下节气门，检查是否有问题，建议先清洗一下节气门，检查是否有问题，建议先清洗一下节气门，检查是否有问题，建议先清洗一下节气门，检查是否有问题，建议先清洗
